Customer_ID,Age,Monthly_Income,Loan_Amount,Credit_Score,Employment_Years,Region,Loan_Purpose,Previous_Defaults,EMI_to_Income_Ratio,Repayment_Status
LR001,25,32000,90000,690,2,North,Education,0,0.22,On_Time
LR002,29,38000,120000,710,4,South,Vehicle,0,0.28,On_Time
LR003,41,52000,180000,640,8,East,Business,1,0.38,Delayed
LR004,35,47000,160000,605,6,West,Medical,1,0.42,Default
LR005,31,44000,95000,735,5,North,Home,0,0.24,On_Time
LR006,27,36000,140000,620,3,South,Vehicle,1,0.40,Delayed
LR007,45,68000,210000,760,12,East,Business,0,0.26,On_Time
LR008,33,42000,175000,590,5,West,Medical,2,0.48,Default
LR009,39,56000,150000,700,10,North,Home,0,0.27,On_Time
LR010,24,30000,110000,610,1,South,Education,1,0.39,Delayed
LR011,52,72000,250000,780,18,East,Business,0,0.25,On_Time
LR012,36,46000,170000,630,7,West,Home,1,0.37,Delayed
LR013,28,34000,145000,600,3,North,Medical,1,0.44,Default
LR014,43,59000,190000,720,11,South,Business,0,0.29,On_Time
LR015,30,41000,130000,675,4,East,Vehicle,0,0.31,On_Time
LR016,47,64000,220000,610,15,West,Home,2,0.43,Default
LR017,26,33000,100000,705,2,North,Education,0,0.25,On_Time
LR018,38,54000,165000,655,9,South,Medical,1,0.34,Delayed
LR019,32,43000,155000,625,6,East,Home,1,0.41,Delayed
LR020,40,60000,200000,745,10,West,Business,0,0.28,On_Time
LR021,29,37000,135000,615,4,North,Vehicle,1,0.39,Delayed
LR022,34,45000,125000,730,6,South,Education,0,0.23,On_Time
LR023,50,70000,240000,770,17,East,Home,0,0.24,On_Time
LR024,37,48000,185000,595,8,West,Medical,2,0.47,Default
LR025,31,40000,115000,700,5,North,Vehicle,0,0.27,On_Time
LR026,42,57000,195000,650,11,South,Business,1,0.35,Delayed
LR027,27,35000,150000,605,3,East,Medical,1,0.45,Default
LR028,46,66000,205000,755,14,West,Home,0,0.26,On_Time
LR029,33,44000,140000,680,6,North,Education,0,0.30,On_Time
LR030,39,55000,175000,635,9,South,Vehicle,1,0.36,Delayed
LR031,28,36000,160000,590,4,East,Medical,2,0.49,Default
LR032,44,62000,215000,740,13,West,Business,0,0.27,On_Time
LR033,35,47000,145000,695,7,North,Home,0,0.29,On_Time
LR034,30,39000,138000,620,4,South,Vehicle,1,0.38,Delayed
LR035,48,69000,230000,775,16,East,Business,0,0.25,On_Time
LR036,26,31000,125000,600,2,West,Education,1,0.43,Default
LR037,41,58000,185000,660,10,North,Home,1,0.33,Delayed
LR038,32,42000,118000,720,5,South,Education,0,0.24,On_Time
LR039,36,49000,168000,645,8,East,Medical,1,0.37,Delayed
LR040,29,34500,148000,585,3,West,Vehicle,2,0.46,Default
LR041,53,74000,260000,785,19,North,Business,0,0.23,On_Time
LR042,34,45500,152000,630,6,South,Home,1,0.39,Delayed
LR043,27,32500,108000,710,2,East,Education,0,0.26,On_Time
LR044,45,61000,225000,605,14,West,Medical,2,0.44,Default
LR045,38,53000,172000,705,9,North,Vehicle,0,0.28,On_Time
LR046,31,40500,142000,640,5,South,Home,1,0.35,Delayed
LR047,43,60000,210000,750,12,East,Business,0,0.27,On_Time
LR048,25,31500,132000,595,1,West,Education,1,0.42,Default
LR049,37,50000,158000,685,8,North,Medical,0,0.30,On_Time
LR050,40,56500,188000,625,10,South,Home,1,0.38,Delayed
